NutNet_Litter_Bag_No,String,Init_Litter_Mass_g,Site_Text,Trt,Date_Sent,Date_Deployed,Collection_Date,Lab_Arrival_Date,Days_Since_Deployment,Fin_Litter_Mass_g,Prop_Init_Mass,Notes,Carbon_Perc,Nitrogen_perc,Carbon_Rerun_Perc,Nitrogen_Rerun_Perc,Carbon_Used_Perc,Nitrogen_Used_Perc,Init_Crucible_Mass_g,Crucible_Plus_Sample_g,Ashed_Crucible_Sample_g,Initial_Ashed_Sample_Mass_g,Ash_Mass_g,Perc_AFDM,Perc_C_pred_from_AFDM,Init_C_Mass_g,Plot,Fin_C_Mass_g,Prop_Init_C_Mass,Yrs_Since_Deployment,Harvest_No,Init_N_Mass_g,Fin_N_Mass_g,Prop_Init_N_Mass,
4858,1,9.995,Bogong High Plains ,N,11/25/09,1/20/10,1/20/11,3/14/11,365,7.9,0.7904,Last harvest in 2015; destroyed due to photodegradation,50.687,1.377,,,50.687,1.377,17.17,17.615,17.2,0.445,0.03,93.25842697,47.56087367,4.8343816,1,4.004273,0.828290634,1,1,0.09265365,0.108783,1.174082187,
4871,2,10.003,Bogong High Plains ,PK,11/25/09,1/20/10,1/20/11,3/14/11,365,7.78,0.7778,,50.416,1.237,,,50.416,1.237,17.958,18.429,17.985,0.471,0.027,94.26751592,48.0673775,4.83825104,2,3.9223648,0.810698901,1,1,0.09272781,0.0962386,1.037861241,
4878,3,9.997,Bogong High Plains ,Control,11/25/09,1/20/10,1/20/11,3/14/11,365,8.03,0.8032,,50.057,1.13,,,50.057,1.13,16.958,17.389,16.983,0.431,0.025,94.19953596,48.03325552,4.83534896,3,4.0195771,0.831289972,1,1,0.09267219,0.090739,0.979139481,
4879,4,10.003,Bogong High Plains ,Fence,11/25/09,1/20/10,1/20/11,3/14/11,365,7.26,0.7258,,50.912,1.257,,,50.912,1.257,17.162,17.591,17.189,0.429,0.027,93.70629371,47.78567666,4.83825104,4,3.6962112,0.76395606,1,1,0.09272781,0.0912582,0.984151357,
4892,5,10.005,Bogong High Plains ,NPK,11/25/09,1/20/10,1/20/11,3/14/11,365,7.8,0.7796,,49.739,1.39,,,49.739,1.39,17.049,17.501,17.082,0.452,0.033,92.69911504,47.28013169,4.8392184,5,3.879642,0.801708392,1,1,0.09274635,0.10842,1.168994791,
4899,6,10.006,Bogong High Plains ,NK,11/25/09,1/20/10,1/20/11,3/14/11,365,8.26,0.8255,,47.52,1.416,,,47.52,1.416,17.213,17.671,17.274,0.458,0.061,86.68122271,44.25950058,4.83970208,6,3.925152,0.81103174,1,1,0.09275562,0.1169616,1.260965104,
4900,7,10.005,Bogong High Plains ,K,11/25/09,1/20/10,1/20/11,3/14/11,365,8.04,0.8036,,50.578,1.196,,,50.578,1.196,17.343,17.774,17.373,0.431,0.03,93.03944316,47.45095656,4.8392184,7,4.0664712,0.840315701,1,1,0.09274635,0.0961584,1.036789049,
4907,8,10.003,Bogong High Plains ,NP,11/25/09,1/20/10,1/20/11,3/14/11,365,7.99,0.7988,,51.045,1.261,,,51.045,1.261,17.441,17.931,17.473,0.49,0.032,93.46938776,47.66676369,4.83825104,8,4.0784955,0.842968971,1,1,0.09272781,0.1007539,1.086555371,
4920,9,10.006,Bogong High Plains ,NPK+Fence,11/25/09,1/20/10,1/20/11,3/14/11,365,7.73,0.7725,,51.135,1.196,,,51.135,1.196,17.443,17.91,17.472,0.467,0.029,93.79014989,47.82776758,4.83970208,9,3.9527355,0.816731161,1,1,0.09275562,0.0924508,0.99671373,
4927,10,10.008,Bogong High Plains ,P,11/25/09,1/20/10,1/20/11,3/14/11,365,7.5,0.7494,,51.123,1.143,,,51.123,1.143,17.239,17.687,17.264,0.448,0.025,94.41964286,48.14373635,4.84066944,10,3.834225,0.792085691,1,1,0.09277416,0.085725,0.924018067,
4934,11,10.006,Bogong High Plains ,Control,11/25/09,1/20/10,1/20/11,3/14/11,365,8.08,0.8075,,48.296,1.282,,,48.296,1.282,17.392,17.847,17.43,0.455,0.038,91.64835165,46.75270973,4.83970208,11,3.9023168,0.806313433,1,1,0.09275562,0.1035856,1.116758208,
4941,12,10.004,Bogong High Plains ,PK,11/25/09,1/20/10,1/20/11,3/14/11,365,7.98,0.7977,,50.838,1.204,,,50.838,1.204,17.82,18.267,17.844,0.447,0.024,94.63087248,48.24976131,4.83873472,12,4.0568724,0.838415957,1,1,0.09273708,0.0960792,1.036038659,
4948,13,10.002,Bogong High Plains ,P,11/25/09,1/20/10,1/20/11,3/14/11,365,7.93,0.7928,,49.936,1.19,,,49.936,1.19,17.163,17.658,17.193,0.495,0.03,93.93939394,47.90267939,4.83776736,13,3.9599248,0.818543866,1,1,0.09271854,0.094367,1.017779184,
4949,14,10.009,Bogong High Plains ,NP,11/25/09,1/20/10,1/20/11,3/14/11,365,7.69,0.7683,,50.699,1.259,,,50.699,1.259,17.081,17.492,17.104,0.411,0.023,94.40389294,48.13583081,4.84115312,14,3.8987531,0.80533563,1,1,0.09278343,0.0968171,1.043474034,
4962,15,10.006,Bogong High Plains ,NPK,11/25/09,1/20/10,1/20/11,3/14/11,365,7.99,0.7985,,49.284,1.414,,,49.284,1.414,17.329,17.774,17.375,0.445,0.046,89.66292135,45.75613947,4.83970208,15,3.9377916,0.813643389,1,1,0.09275562,0.1129786,1.218024309,
4969,16,9.998,Bogong High Plains ,NPK+Fence,11/25/09,1/20/10,1/20/11,3/14/11,365,7.53,0.7532,SMALL HOLE (1CM DIAMETER) ON UNDERSIDE OF BAG,49.98,1.251,,,49.98,1.251,17.399,17.807,17.432,0.408,0.033,91.91176471,46.88492773,4.83583264,16,3.763494,0.778251499,1,1,0.09268146,0.0942003,1.016387744,
4976,17,10.004,Bogong High Plains ,Fence,11/25/09,1/20/10,1/20/11,3/14/11,365,7.82,0.7817,,49.14,1.217,,,49.14,1.217,17.186,17.67,17.221,0.484,0.035,92.76859504,47.3150066,4.83873472,17,3.842748,0.79416381,1,1,0.09273708,0.0951694,1.026228128,
4977,18,9.995,Bogong High Plains ,NK,11/25/09,1/20/10,1/20/11,3/14/11,365,7.74,0.7744,,50.802,1.164,,,50.802,1.164,17.84,18.252,17.862,0.412,0.022,94.66019417,48.26447909,4.8343816,18,3.9320748,0.813356314,1,1,0.09265365,0.0900936,0.97236968,
4984,19,9.999,Bogong High Plains ,N,11/25/09,1/20/10,1/20/11,3/14/11,365,7.41,0.7411,,50.48,1.178,,,50.48,1.178,17.379,17.804,17.406,0.425,0.027,93.64705882,47.75594421,4.83631632,19,3.740568,0.773433281,1,1,0.09269073,0.0872898,0.941731714,
4991,20,9.994,Bogong High Plains ,K,11/25/09,1/20/10,1/20/11,3/14/11,365,7.94,0.7945,,49.353,1.189,,,49.353,1.189,17.29,17.762,17.335,0.472,0.045,90.46610169,46.15928918,4.83389792,20,3.9186282,0.810655969,1,1,0.09264438,0.0944066,1.019021337,
5004,21,10.001,Bogong High Plains ,Control,11/25/09,1/20/10,1/20/11,3/14/11,365,7.65,0.7649,,48.947,1.179,,,48.947,1.179,17.596,18.091,17.637,0.495,0.041,91.71717172,46.78725339,4.83728368,21,3.7444455,0.774080196,1,1,0.09270927,0.0901935,0.972863879,
5005,22,9.998,Bogong High Plains ,N,11/25/09,1/20/10,1/20/11,3/14/11,365,7.26,0.7261,,50.414,1.347,,,50.414,1.347,17.307,17.778,17.34,0.471,0.033,92.99363057,47.42796132,4.83583264,22,3.6600564,0.756861677,1,1,0.09268146,0.0977922,1.055143067,
5012,23,9.997,Bogong High Plains ,NPK,11/25/09,1/20/10,1/20/11,3/14/11,365,7.99,0.7992,,50.671,1.129,,,50.671,1.129,17.5,18.094,17.53,0.594,0.03,94.94949495,48.40969121,4.83534896,23,4.0486129,0.837294874,1,1,0.09267219,0.0902071,0.973399895,
5025,24,9.996,Bogong High Plains ,K,11/25/09,1/20/10,1/20/11,3/14/11,365,8.08,0.8083,,51.659,1.076,,,51.659,1.076,17.726,18.213,17.761,0.487,0.035,92.81314168,47.33736642,4.83486528,24,4.1740472,0.863322339,1,1,0.09266292,0.0869408,0.938248007,
