ColumnNumber,ColumnName,Units,Description,Levels
,NutNet_Litter_Bag_No,NA,Unique litter bag ID numnber,
,String,NA,Unique string number within indiviudal sites,
,Init_Litter_Mass_g,gram (g),litter bag mass prior to deployment,
,Site_Text,NA,site name,
,Trt,NA,Nutrient Network treatment,"Control, no manipulation; N, nitrogen fertilization; P, phosphorus fertilization; K, potassium and one-time micronutrient fertilization; Fence, plot fencing. Letter combinations represent factorial nutrient addition combinations."
,Date_Sent,NA,"Date litter bag shipped from Hobbie Lab in Saint Paul, MN USA",
,Date_Deployed,NA,Date litter bag deployed in field,
,Collection_Date,NA,Date litter bag collected from field,
,Lab_Arrival_Date,NA,Date litter bag arrived in Hobbie Lab,
,Days_Since_Deployment,Days,Length of deployment,
,Fin_Litter_Mass_g,gram (g),Litter bag mass after collection,
,Prop_Init_Mass,NA,Proportion litter mass remaining,
,Notes,NA,Notes regarding litter bag status,
,Carbon_Used_Perc,NA,Final litter percent carbon,
,Nitrogen_Used_Perc,NA,Final litter percent nitrogen,
,Ash_Mass_g,gram (g),Litter ash mass,
,Perc_AFDM,NA,Percent ash free dry mass in litter,
,Perc_C_pred_from_AFDM,NA,Litter percent C corrected for ash free dry mass,
,Init_C_Mass_g,gram (g),initial litter C mass,
,Plot,NA,Plot ID within site,
,Fin_C_Mass_g,gram (g),final litter C mass,
,Prop_Init_C_Mass,NA,Proportion initial C mass at harvest,
,Yrs_Since_Deployment,years,Time since deployment in years,
,Harvest_No,NA,Harvest number within a single string,
,Init_N_Mass_g,gram (g),initial litter N mass,
,Fin_N_Mass_g,gram (g),final litter N mass,
,Prop_Init_N_Mass,NA,Proportion initial C mass at harvest,
