Number,Exclusion,Plot,Site_Text,Trt,Block,Block_Unique,Filter,year,site_name,continent,country,elevation,latitude,longitude,RAIN_PET,MAT_v2,MAP_v2,AI,PET,N_Dep,N,P,K,Exclose,first_nutrient_year,first_fenced_year,year_trt,sum_INT_cover,sum_NAT_cover,sum_UNK_cover,total_cover,INT_rich,NAT_rich,UNK_rich,rich,site_richness,site_native_richness,site_introduced_richness,plot_beta,dead_mass,live_mass,total_mass,unsorted_mass,proportion_par,Ambient_PAR,Ground_PAR,pct_C,pct_N,ppm_P,ppm_K,ppm_Ca,ppm_Mg,ppm_S,ppm_Na,ppm_Zn,ppm_Mn,ppm_Fe,ppm_Cu,ppm_B,pH,PercentSand,PercentSilt,PercentClay,Classification,shannon,inverse_simpson,evenness,Single_AICc,Asym_AICc,weibull.AIC,LowestAIC,T_nmax,Nmax,Single_RMSE,Asymp_RMSE,Weibull_RMSE,single.k,single.k.div,asymp.k,asymp.A,Asymp_collapse,weibull.alpha,weibull.beta,weibull.mrt,weibull.half.life,weibull.quarter,weibull.tenth,weibull.div,Prop_Init_N_Mass_1yr,Fin_C_Mass_g,Prop_Init_C_Mass,Ground_PAR,Total_mass_mean,Ground_PAR_mean
1,,1,CBGB,Control,1,1,TRUE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,0,0,0,2010,2010,0,15,102,0,119,1,7,0,9,94,48,15,10.4444,407.2,123.05,530.25,NA,0.040863177,1089,44.5,0.623,0.063,72,95,587,101,21,26,1.1,23,97,1.3,0.4,6.2,NA,NA,NA,NA,1.169537399,2.090956072,0.532279409,-7.700256316,-3.500256316,-14.97195587,W,2.7,0.112680227,0.10086625,0.10086625,0.042146589,0.273874633,0.010174,0.273874679,0,TRUE,1.657020776,3.935204142,3.517732039,3.154326095,1.855346681,1.011953303,0.001776335,0.750621359,0.40799034,0.084267027,163.6428571,414.1402857,44.5
2,,3,CBGB,NP,1,1,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,1,0,0,2010,2010,0,61,51,0,112,2,10,0,12,94,48,15,7.8333,467.7,175.7,643.4,NA,0.205970149,1340,276,0.598,0.058,81,107,724,92,19,29,1.1,27,113,1.3,0.3,6.1,NA,NA,NA,NA,1.424506619,2.747262374,0.573263635,-2.995906701,NA,-4.7355056,W,NA,NA,0.054027813,0.033568202,0.040429746,0.160360426,0.002919005,0.47885769,0.499822354,FALSE,0.726762953,8.572422758,10.48416789,5.177082322,1.543785004,0.387563689,0.001634564,1.004375465,2.840268,0.587220476,82.71428571,629.8339286,276
3,,4,CBGB,NPK,1,1,TRUE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,1,1,0,2010,2010,0,20,93.5,0,114.5,1,9,0,11,94,48,15,8.5455,957,271.95,1228.95,NA,0.236415634,1049,248,0.448,0.044,75,102,671,99,22,29,1.1,26,109,1.3,0.3,6.2,NA,NA,NA,NA,1.17065736,2.141585331,0.488202039,-1.704535715,10.29546429,-9.734666272,W,1.99,0.142541295,0.09350929,0.09350929,0.017573153,0.322307423,0.008743987,0.322307419,0,TRUE,1.567708713,2.786197237,2.502947827,2.205355571,1.258538821,0.663137951,0.000308816,1.144515642,0.53227242,0.109936462,119.7142857,551.1017143,248
4,,6,CBGB,NK,1,1,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,0,1,0,2010,2010,0,1,92,0.5,94.5,1,6,1,9,94,48,15,10.4444,1290.8,283.85,1574.65,NA,0.166493776,964,160.5,0.829,0.077,68,114,731,121,18,26,1.2,30,98,1.3,0.3,6.2,NA,NA,NA,NA,0.521355178,1.233417354,0.237278967,-8.475327332,-1.808660666,-5.89413922,S,1.62,0.120038059,0.074288093,0.074288093,0.073655795,0.243969744,0.005518721,0.243969766,0,TRUE,1.058318002,4.075423096,3.985520488,2.882500454,1.255745986,0.486077323,0.005425176,1.17856146,0.66145844,0.13674171,112.9285714,660.5366429,160.5
7,,9,CBGB,P,1,1,TRUE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,1,0,0,2010,2010,0,70,46.5,0,119.5,1,9,0,11,94,48,15,8.5455,1127.55,74.8,1202.35,NA,0.143177738,1114,159.5,0.558,0.052,77,93,523,85,21,28,3.4,26,125,1.4,0.3,5.9,NA,NA,NA,NA,1.257975153,2.431612107,0.524616386,-13.96588059,-8.965880603,-16.38926875,W,7,0.105605351,0.029022798,0.029022798,0.014734006,0.172803836,0.000842323,0.172803629,0,TRUE,1.158491801,5.571608753,5.291272621,4.060528292,1.900723165,0.798665094,0.000217091,0.953228695,1.28448584,0.265831048,192.5,481.1847857,159.5
8,,10,CBGB,K,1,1,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,0,1,0,2010,2010,0,71,45.5,0,118.5,2,9,0,12,94,48,15,7.8333,577.55,109.85,687.4,NA,0.09723261,1337,130,0.446,0.045,72,94,555,87,18,27,1.2,32,127,1.4,0.3,6,NA,NA,NA,NA,1.371306851,2.502517264,0.551854474,-13.06684904,-6.400182372,-13.11754324,W,2.72,0.128666784,0.031149368,0.031149368,0.022178511,0.16546228,0.000970283,0.165462333,0,TRUE,1.149135817,5.749497616,5.473005169,4.179392562,1.944309737,0.811232751,0.000491886,1.035807112,1.8633048,0.384850181,246.2857143,504.2822143,130
9,,11,CBGB,N,1,1,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,0,0,0,2010,2010,0,47,92,0,140.5,1,11,0,14,94,48,15,6.7143,917.2,240.65,1157.85,NA,0.251192369,1258,316,0.705,0.068,69,93,534,94,17,28,1.1,26,116,1.4,0.3,6,NA,NA,NA,NA,1.680655561,4.013673563,0.636839352,-5.119745998,1.54692067,-2.719767339,S,2.3,0.117271119,0.084114741,0.084114741,0.081356915,0.302314351,0.00707529,0.30231554,0,TRUE,1.106540472,3.272699008,3.15175557,2.349942559,1.061490438,0.428235788,0.006618948,0.953583603,0.79334926,0.163859722,86.71428571,612.8556429,316
10,,12,CBGB,PK,1,1,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,1,1,0,2010,2010,0,65,36,0,101.5,1,11,0,13,94,48,15,7.2308,591.8,170.35,762.15,NA,0.190415606,1179,224.5,0.747,0.069,72,105,688,113,19,25,1.2,28,116,1.6,0.3,6,NA,NA,NA,NA,1.349484496,2.281909297,0.526125201,-11.81135345,-7.611353463,-14.6040322,W,2.05,0.096747188,0.085212543,0.085212543,0.055539816,0.241741478,0.007261177,0.241738932,0,TRUE,1.48508264,4.264470143,3.854489307,3.331829745,1.842964069,0.937070642,0.003084671,0.900329444,0.8629387,0.178411078,122.7142857,604.8507857,224.5
11,,13,CBGB,P,2,2,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,1,0,0,2010,2010,0,14,71,0,85,3,6,0,9,94,48,15,10.4444,513.05,258.75,771.8,NA,0.099323753,1183,117.5,0.533,0.055,48,84,888,105,18,26,2.6,28,104,1.7,0.4,6.8,NA,NA,NA,NA,1.849124203,5.371747212,0.841572692,-8.279907093,-1.895322416,-5.616604734,S,7,0.100383226,0.07575411,0.073647081,0.075728628,0.165290259,0.005738685,0.226168512,0.16543783,FALSE,1.012298787,6.030345044,5.999735524,4.198570915,1.761281716,0.652970998,0.005734825,1.073015442,1.9812702,0.409624173,315.3571429,452.7732143,117.5
12,,14,CBGB,NK,2,2,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,0,1,0,2010,2010,0,1,138,0,139,1,10,0,11,94,48,15,8.5455,576.25,117.35,693.6,NA,0.1,1035,103.5,0.482,0.05,50,92,967,116,20,28,3,28,101,3.1,0.4,6.7,NA,NA,NA,NA,1.219233879,2.187365561,0.50846002,-3.899105261,7.191269353,-2.6528387,S,3.57,0.146306526,0.090145821,0.080457204,0.082040408,0.095949402,0.008126269,0.44268936,0.62292408,FALSE,0.626136246,19.7578264,28.18480064,11.00327755,2.701286794,0.54307705,0.006730629,1.175516721,3.62835,0.750155061,131.5714286,626.511,103.5
